web-scraper-order,web-scraper-start-url,pagination,link,link-href,address,price,beds,baths,sqft,DOM,year,lot_size,estimate,est_monthly_payment,parking,pool,school_dist,zoning,views,favorites,outs,walk_score,transit_score,bike_score,hoa_dues
1638423701-1243,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/10364-Almayo-Ave-90064/unit-202/home/8121454,"10364 Almayo Ave #202,","$1,190,000.00",2,2,"1,581",Time on Redfin20 days,2002,Mediterranean,"$1,173,536.00","$5,822.00",Laundry in Unit,Balcony: yes,# of Units in Complex (Total): 24,,"1,235",29,7,76 / 100,51 / 100,49 / 100,HOA Dues$450/month
1638424039-1373,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Canoga-Park/7150-Carlson-Cir-91303/unit-65/home/3094624,"7150 Carlson Cir #65,","$319,000.00",1,1,471,Time on Redfin6 days,1976,Garden Condo,"$320,206.00","$1,908.00","Gated Community, Exercise Room, Card Room, Spa, Sauna, Pool, Lake or Pond, Gated Parking, Association Barbecue, Guest Parking, Security, Tennis Courts",# of Parking Spaces (Total): 1,"Other Structural Features: End Unit, Balcony, Slab, Sliding Glass Doors",,837,27,3,82 / 100,49 / 100,67 / 100,HOA Dues$468/month
1638424137-1410,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/944-S-Serrano-Ave-90006/unit-7/home/175313928,"944 S Serrano Ave Ph 7,","$1,231,000.00",3,2.5,"1,785",Time on Redfin2 days,2021,French Normandy,"$1,230,216.00","$5,936.00",Laundry in Unit,Other Structural Features: Balcony,# of Units in Complex (Total): 32,,81,3,1,97 / 100,77 / 100,67 / 100,HOA Dues$379/month
1638423628-1215,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/6250-Hollywood-Blvd-90028/unit-14H/home/40118283,"6250 Hollywood Blvd Unit 14H,","$2,222,000.00",2,3,"1,860",Time on Redfin22 days,2009,Contemporary,"$2,166,224.00","$12,371.00","Association Barbecue, Association Pet Rules, Concierge, Elevator, Fire Pit, Fitness Center, Gated Parking, Guest Parking, Maid Service, Onsite Property Management, Other, Valet Parking, Sun Deck, Spa, Security, Private Cabana, Pool, Picnic Area",# of Parking Spaces (Total): 2,"Heated Pool, In Ground Pool, Community Pool",,561,28,1,95 / 100,74 / 100,75 / 100,"HOA Dues$2,340/month"
1638424192-1432,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/4411-Los-Feliz-Blvd-90027/unit-1401/home/7133094,"4411 Los Feliz Blvd #1401,","$1,869,000.00",2,3,"1,870",Time on Redfin15 hours,1966,High or Mid-Rise Condo,"$1,865,256.00","$10,092.00",Laundry in Unit,Community Pool,# of Units in Complex (Total): 98,,166,4,0,75 / 100,49 / 100,55 / 100,"HOA Dues$1,655/month"
1638423801-1283,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/San-Pedro/665-W-24th-St-90731/unit-213/home/7695683,"665 W 24th St #213,","$545,000.00",2,2,"1,021",Time on Redfin16 days,1974,181 - Point Fermin,"$543,616.00","$2,755.00","Gas Range, Refrigerator",Pool Features: None,High School District: Los Angeles Unified,Association Fee Frequency: Monthly,813,25,3,75 / 100,44 / 100,60 / 100,HOA Dues$295/month
1638423239-1146,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/10800-Wilshire-Blvd-90024/unit-603/home/22722640,"10800 Wilshire Blvd #603,","$3,395,000.00",3,3.5,"3,290",Time on Redfin30 days,2005,Contemporary,"$3,332,788.00","$19,237.00","Banquet Facilities, Association Barbecue, Conference, Concierge, Elevator, Exercise Room, Fire Pit, Fitness Center, Meeting Room, Valet Parking, Spa, Security, Pool",# of Covered Parking Spaces: 2,"In Ground Pool, Community Pool",,303,8,1,90 / 100,73 / 100,77 / 100,"HOA Dues$3,911/month"
1638424030-1369,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/315-S-Harvard-Blvd-90020/unit-204/home/7089820,"315 S Harvard Blvd #204,","$489,000.00",1,1,741,Time on Redfin6 days,1988,A-Frame,"$490,538.00","$2,407.00",2,# of Parking Spaces (Total): 2,Unit Floor In Building: 2,AssociationPetRules: Call,"1,064",37,2,93 / 100,82 / 100,71 / 100,HOA Dues$200/month
1638423873-1309,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Los-Angeles/10701-Wilshire-Blvd-90024/unit-705/home/6825597,"10701 Wilshire Blvd #705,","$699,000.00",1,1.5,"1,099",Time on Redfin14 days,1964,Contemporary,"$697,115.00","$4,287.00","Stone Counters, Island",Other Structural Features: Balcony,# of Units in Complex (Total): 119,,"1,060",35,1,77 / 100,70 / 100,62 / 100,"HOA Dues$1,132/month"
1638423767-1269,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=condo,,,https://www.redfin.com/CA/Playa-Vista/13020-Pacific-Promenade-90094/unit-305/home/8182465,"13020 Pacific Promenade #305,","$869,000.00",2,2,"1,440",Time on Redfin17 days,2005,Other,"$945,531.00","$4,711.00",Laundry Inside,Community Pool,Tennis,,"1,855",37,8,73 / 100,43 / 100,64 / 100,HOA Dues$788/month
